key,episode,author,title,file,source,source_id,source_page,matched_title,matched_author,match_score,bytes
current,,Matt Dinniman,This Inevitable Ruin,current.jpg,Open Library,15142977,https://openlibrary.org/works/OL41914127W,This Inevitable Ruin,Matt Dinniman,135.0,27791
next,,Robin Hobb,Royal Assassin,next.jpg,Open Library,14093093,https://openlibrary.org/works/OL27336080W,Royal Assassin,Robin Hobb,135.0,25967
review-61,61,Robin Hobb,Assassin's Apprentice,review-61.jpg,Penguin Random House,ISBN 9780593722824,https://images.penguinrandomhouse.com/cover/9780593722824,Assassin's Apprentice,Robin Hobb,100.0,54427
review-60,60,Catherynne M. Valente,Comfort Me with Apples,review-60.jpg,Open Library,10658546,https://openlibrary.org/works/OL24209960W,Comfort Me With Apples,Catherynne M. Valente,135.0,23650
review-59,59,Matt Dinniman,The Eye of the Bedlam Bride,review-59.jpg,Open Library,15231488,https://openlibrary.org/works/OL36748104W,The Eye of the Bedlam Bride,Matt Dinniman,135.0,28957
review-58,58,Matt Dinniman,The Butcher’s Masquerade,review-58.jpg,Open Library,15231958,https://openlibrary.org/works/OL34721292W,The Butcher’s Masquerade,Matt Dinniman,135.0,28787
review-57,57,Matt Dinniman,The Gate of the Feral Gods,review-57.jpg,Open Library,15232581,https://openlibrary.org/works/OL24848267W,The Gate of the Feral Gods,Matt Dinniman,135.0,27259
review-56,56,Matt Dinniman,The Dungeon Anarchist’s Cookbook,review-56.jpg,Open Library,15233609,https://openlibrary.org/works/OL24848242W,The Dungeon Anarchist’s Cookbook,Matt Dinniman,135.0,27266
review-55,55,Matt Dinniman,Carl’s Doomsday Scenario,review-55.jpg,Open Library,11702962,https://openlibrary.org/works/OL24848193W,Carl’s Doomsday Scenario,Matt Dinniman,135.0,22522
review-54,54,Matt Dinniman,Dungeon Crawler Carl,review-54.jpg,Open Library,15143022,https://openlibrary.org/works/OL24593432W,Dungeon Crawler Carl,Matt Dinniman,139.2,24977
review-53,53,Pierce Brown,Light Bringer,review-53.jpg,Open Library,15157697,https://openlibrary.org/works/OL26353967W,Light Bringer,Pierce Brown,139.3,22278
review-52,52,Pierce Brown,Dark Age,review-52.jpg,Open Library,8748017,https://openlibrary.org/works/OL20072759W,Dark Age,Pierce Brown,139.3,23020
review-51,51,Pierce Brown,Iron Gold,review-51.jpg,Open Library,14511722,https://openlibrary.org/works/OL19726995W,Iron Gold,Pierce Brown,139.6,16607
review-50,50,Umberto Eco,Foucault's Pendulum,review-50.jpg,Open Library,ISBN 9780156032971,https://openlibrary.org/isbn/9780156032971,Foucault's Pendulum,Umberto Eco,100.0,50152
review-49,49,Milan Kundera,The Unbearable Lightness of Being,review-49.jpg,Open Library,ISBN 9780060932138,https://openlibrary.org/isbn/9780060932138,The Unbearable Lightness of Being,Milan Kundera,100.0,23678
review-48,48,Joan Didion,A Book of Common Prayer,review-48.jpg,Open Library,4455913,https://openlibrary.org/works/OL500175W,A book of common prayer,Joan Didion; Marisa Vitali,140.0,2522
