Zebra Book Cub Ratings,,,,,,
,🦓,Waste of paper,,,,
,🦓🦓,Meh,,,,
,🦓🦓🦓,"Good, solid book, you'll like it if you like the genre",,,,
,🦓🦓🦓🦓,"Fantastic, highly recommend",,,,
,🦓🦓🦓🦓🦓,Maybe the best book ever,,,,
,🦁🐌🐙,Non-ZBC scale = guest reviewer,,,,
,*,follower recommendation,,,,These links may provide the ZBC with a commission
Ep. #,Author,Title,Rating,#,Date,Link
48,Joan Didion,A Book of Common Prayer,🦓,4/12/2026,https://amzn.to/41Aqhub
47,Dan Brown,The Secret of Secrets,🦓🦓🦓,3,3/4/2026,https://amzn.to/47eCRCl
46,David Baldacci,Simple Genius,🦓🦓🦓,3,3/3/2026,https://amzn.to/46AnYdu
45,J.R.R. Tolkien,The Return of the King,🦓🦓🦓🦓,4,2025,
44,J.R.R. Tolkien,The Two Towers,🦓🦓🦓🦓,4,2025,
43,J.R.R. Tolkien,The Fellowship of the Ring,🦓🦓🦓🦓,4,2025,https://amzn.to/4bUW4MB
42,Rick Rubin,"The Creative Act, A Way of Being",🦓🦓🦓🦓,4,2025,
41,Amor Towles,A Gentleman in Moscow,🦓🦓🦓🦓,4,2025,
40,Miyamoto Musashi,The Book of Five Rings,🦓🦓🦓🦓🦓,5,2025,https://amzn.to/3MmXGV7
39,Oscar Wilde,The Picture of Dorian Grey,🦓🦓🦓🦓,4,2025,
38,Paul Wolff *,In Defense of Anarchism *,🦓🦓🦓🦓,4,2025,
37,Alan Moore and Dave Gibbons *,Watchmen *,🦓🦓🦓,3,2025,
36,Richard Feynman,What Do You Care What Other People Think?,🦓🦓🦓,3,2025,
35,Pierce Brown,Morning Star,🦓🦓🦓,3,2025,
34,Pierce Brown,Golden Son,🦓🦓🦓,3,2025,
33,Pierce Brown,Red Rising,🦓🦓🦓🦓,4,2025,
32,Brandon Sanderson,Words of Radiance,🦓🦓🦓,3,2025,
31,Brandon Sanderson,The Way of Kings,🦓🦓🦓🦓,4,2025,
30,Isaac Asimov,Foundation and Empire,🦓🦓🦓🦓,4,2025,
29,George Szpiro,Poincaré's Prize,🦓🦓🦓🦓🦓,5,2025,https://amzn.to/4twO4aV,
28,O. Henry (William Porter),The Gift of the Magi,🦓🦓🦓,3,2025,
27,Randy Pausch,The Last Lecture,🦓🦓🦓🦓,4,2025,
26,Anne-Lee and Joshua Gilder,Heavenly Intrigue*,🦓🦓🦓,3,2025,
25,Louis Untermeyer,This Singing World,🦓🦓🦓🦓,4,2025,
24,R. F. Kuang,Yellowface,🦓🦓,2,2025,
23,Chelsea G. Summers,A Certain Hunger*,🦓🦓,2,2025,
22,Suzanne Collins,Sunrise on the Reaping,🦓🦓🦓,3,2025,
21,Alexandre Dumas,The Count of Monte Cristo,🦓🦓🦓🦓🦓,5,2025,https://amzn.to/3PfRXBk,
20,Monica Sjöö,The Great Cosmis Mother,🐌🐌🐌🐌🐌🐌🐌🐌🐌🐌,10,2025,
19,Isaac Asimov,Foundation,🦓🦓🦓,3,2025,https://amzn.to/3NRa9RJ,
18,Franz Kafka,The Metamorphosis*,🦓🦓,2,2025,
17,Shirley Jackson,The Lottery*,🦓,1,2025,
16,Andy Weir,Project Hail Mary,🦓🦓🦓🦓,4,2025,https://amzn.to/4soex9a,
15,Joseph Kessel,The Lion,🦁🦁🦁🦁🦁,5,2025,
14,Gabrielle Zevin,The Storied Life of A.J. Fikry,🦓🦓🦓🦓,4,2025,
13,Neal Stephenson,Snow Crash,🦓🦓🦓,3,2025,
12,Jules Verne,Around the World in 80 Days*,🦓🦓🦓🦓,4,2025,
11,Bram Stoker,Dracula*,🦓🦓🦓🦓,4,2025,
10,Kahlil Gibran,The Prophet,🦓🦓🦓🦓,4,2025,
9,Yvon Chouinard,Let My People Go Surfing*,🦓🦓🦓,3,2025,
8,Leo Tolstoy,The Death of Ivan Ilyich,🦓🦓🦓🦓,4,2025,
7,Sir Arthur Conan Doyle,The Adventures of Sherlock Holmes,🦓🦓🦓🦓,4,2025,
6,Douglas Adams,The Hitchhiker's Guide to the Galaxy*,🦓🦓🦓🦓,4,2025,https://amzn.to/4tspeZb,
5,Mikhail Bulgakov,The Master and Margarita,🦓🦓🦓🦓🦓,5,2025,https://amzn.to/4spZqfp,
4,Michael Finkel,The Art Thief,🦓🦓🦓🦓🦓,5,2025,https://amzn.to/4l6GeB4,
