Title,Author
Slaughterhouse-Five,Kurt Vonnegut
Catch-22,Joseph Heller
Stella Maris,Cormac McCarthy
Wuthering Heights,Emily Brontë
Journey Under the Midnight Sun,Keigo Higashino
Heart of a Dog,Mikhail Bulgakov
Doctor Zhivago,Boris Pasternak
The Curious Incident of the Dog in the Night-Time,Mark Haddon
Norwegian Wood,Haruki Murakami
The Idiot,Elif Batuman
Perfume: The Story of a Murderer,Patrick Süskind
Carmilla,Sheridan Le Fanu
I'm Just a Little Guy,Charlie James
Polostan,Neal Stephenson
Ikigai,Héctor García and Francesc Miralles
War and Peace,Leo Tolstoy
The Republic,Plato
The Travels of Marco Polo,Marco Polo and Rustichello da Pisa
Beyond the Beautiful Forevers,Katherine Boo
Love and Math,Edward Frenkel
Why Machines Learn: The Elegant Math Behind Modern AI,Anil Ananthaswamy
Treasure Island,Robert Louis Stevenson
The Secret Garden,Frances Hodgson Burnett
A Tale of Two Cities,Charles Dickens
The Wisdom of Insecurity,Alan Watts
The Three-Body Problem,Cixin Liu
The City and Its Uncertain Walls,Haruki Murakami
Bhagavad Gita,Traditionally attributed to Vyasa
Emperor of Rome,Mary Beard
The Jungle Books,Rudyard Kipling
The Shadow of the Wind,Carlos Ruiz Zafón
Murder on the Orient Express,Agatha Christie
The Feather Thief,Kirk Wallace Johnson
Letters to a Young Poet,Rainer Maria Rilke
Wild Seed / Patternist series,Octavia E. Butler
Madame Bovary,Gustave Flaubert
Echo of Worlds,M. R. Carey
The Fall,Albert Camus
The Night Manager,John le Carré
The Stranger,Albert Camus
Breakfast at Tiffany's,Truman Capote
The Portrait of a Lady,Henry James
Children of Time,Adrian Tchaikovsky
Bel Canto,Ann Patchett
The Name of the Rose,Umberto Eco
How the Steel Was Tempered,Nikolai Ostrovsky
All Desire Is a Desire for Being,René Girard
Journey to the Center of the Earth,Jules Verne
Chop Wood Carry Water,Joshua Medcalf
The Dinner,Herman Koch
The Snow Leopard,Peter Matthiessen
From Third World to First,Lee Kuan Yew
What Is Intelligence?: Beyond the Flynn Effect,James R. Flynn
What Is Life?,Erwin Schrödinger
Nightflyers,George R. R. Martin
The Price of Altruism,Oren Harman
Lewis Carroll: A Biography,Morton N. Cohen
The Invisible Sun,Attar — translated by Sholeh Wolpé
The CIA Book Club,Charlie English
Queen of Kings,Maria Dahvana Headley
Don Quixote,Miguel de Cervantes
The Foundations of Science,Henri Poincaré
A Little Life,Hanya Yanagihara
A Short Stay in Hell,Steven L. Peck
The Will of the Many,James Islington
The Cicero Trilogy,Robert Harris
The Idiot,Fyodor Dostoevsky
Thus Spoke Zarathustra,Friedrich Nietzsche
Inferno,Dante Alighieri
SPQR,Mary Beard
The Roman Empire,Isaac Asimov
The Habsburgs,Martyn Rady
Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, and Clifford Stein"
Functional Programming in Scala,Paul Chiusano and Rúnar Bjarnason
Void Injection,Owen Clarke
The History of the Decline and Fall of the Roman Empire,Edward Gibbon
Macaulay's Essays,Thomas Babington Macaulay
The Forest of Hours,Kerstin Ekman
Brief Lives,John Aubrey
A Voyage to Arcturus,David Lindsay
The Invention of Morel,Adolfo Bioy Casares
A Perfect Vacuum,Stanisław Lem
The Hearing Trumpet,Leonora Carrington
The Stars My Destination,Alfred Bester
